Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-09-27,2022-09-28,2022-10-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2022-10-28
2022-09-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,NEW,,IN,
2022-09-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,APPROVED,,IN,
2022-09-27,2022-09-28,2022-10-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2022-10-28
2022-09-23,,,payment_transaction,CC,4700,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2022-08-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,APPROVED,,IN,
2022-08-27,2022-08-28,2022-09-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2022-09-28
2022-08-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,NEW,,IN,
2022-08-27,2022-08-28,2022-09-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2022-09-28
2022-08-23,,,payment_transaction,CC,4700,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2022-07-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,NEW,,IN,
2022-07-27,2022-07-28,2022-08-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2022-08-28
2022-07-27,2022-07-28,2022-08-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2022-08-28
2022-07-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,APPROVED,,IN,
2022-07-23,,,payment_transaction,CC,4700,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2022-06-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,NEW,,IN,
2022-06-27,2022-06-28,2022-07-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2022-07-28
2022-06-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,APPROVED,,IN,
2022-06-27,2022-06-28,2022-07-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2022-07-28
2022-06-23,,,payment_transaction,CC,4700,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2022-05-27,2022-05-28,2022-06-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,APPROVED,RECOVERY,IN,2022-06-28
2022-05-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,APPROVED,,IN,
2022-05-27,2022-05-28,2022-06-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,DECLINED,REVERSAL,IN,2022-06-28
2022-05-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,DECLINED,,IN,
2022-05-27,2022-05-28,2022-06-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,DECLINED,RECOVERY,IN,2022-06-28
2022-05-27,2022-05-28,2022-06-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,REVERSAL,IN,2022-06-28
2022-05-27,2022-05-28,2022-06-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,RECOVERY,IN,2022-06-28
2022-05-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,NEW,,IN,
2022-05-27,2022-05-28,2022-06-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,APPROVED,REVERSAL,IN,2022-06-28
2022-05-23,,,payment_transaction,CC,4700,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2022-04-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,APPROVED,,IN,
2022-04-27,2022-04-28,2022-05-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2022-05-28
